start_time,end_time,peak_time,peak_flux,activity_level,confidence,duration_minutes
2026-05-29 00:36:07,2026-05-29 00:36:33,2026-05-29 00:36:07,20.0,1,59,0.43
2026-05-29 00:36:38,2026-05-29 00:36:38,2026-05-29 00:36:38,24.0,2,63,0.0
2026-05-29 00:37:54,2026-05-29 00:38:15,2026-05-29 00:37:54,20.0,1,60,0.35
2026-05-29 00:38:18,2026-05-29 00:38:18,2026-05-29 00:38:18,23.0,2,63,0.0
2026-05-29 00:38:33,2026-05-29 00:39:26,2026-05-29 00:39:09,21.0,1,59,0.88
2026-05-29 00:40:06,2026-05-29 00:40:06,2026-05-29 00:40:06,23.0,2,61,0.0
2026-05-29 00:41:12,2026-05-29 00:44:52,2026-05-29 00:44:52,20.0,1,60,3.67
2026-05-29 00:45:09,2026-05-29 00:45:09,2026-05-29 00:45:09,18.0,2,61,0.0
2026-05-29 00:45:31,2026-05-29 00:45:36,2026-05-29 00:45:31,17.0,1,60,0.08
2026-05-29 00:46:02,2026-05-29 00:46:02,2026-05-29 00:46:02,16.0,2,61,0.0
2026-05-29 00:46:12,2026-05-29 00:46:12,2026-05-29 00:46:12,16.0,1,58,0.0
2026-05-29 00:46:38,2026-05-29 00:46:38,2026-05-29 00:46:38,21.0,2,63,0.0
2026-05-29 00:46:47,2026-05-29 00:51:20,2026-05-29 00:50:46,16.0,1,60,4.55
2026-05-29 00:51:31,2026-05-29 00:51:31,2026-05-29 00:51:31,16.0,2,61,0.0
2026-05-29 00:52:03,2026-05-29 00:56:55,2026-05-29 00:54:49,16.0,1,59,4.87
2026-05-29 00:57:22,2026-05-29 00:57:22,2026-05-29 00:57:22,22.0,3,65,0.0
2026-05-29 00:57:43,2026-05-29 01:00:21,2026-05-29 00:58:07,18.0,1,60,2.63
2026-05-29 01:00:39,2026-05-29 01:00:39,2026-05-29 01:00:39,17.0,2,61,0.0
2026-05-29 01:01:14,2026-05-29 01:04:25,2026-05-29 01:01:42,16.0,1,60,3.18
2026-05-29 01:04:32,2026-05-29 01:04:32,2026-05-29 01:04:32,17.0,2,61,0.0
2026-05-29 01:04:47,2026-05-29 01:06:27,2026-05-29 01:04:47,17.0,1,59,1.67
2026-05-29 01:06:46,2026-05-29 01:06:46,2026-05-29 01:06:46,18.0,2,62,0.0
2026-05-29 01:06:50,2026-05-29 01:06:50,2026-05-29 01:06:50,15.0,1,56,0.0
2026-05-29 01:07:35,2026-05-29 01:07:35,2026-05-29 01:07:35,18.0,2,61,0.0
2026-05-29 01:07:51,2026-05-29 01:07:58,2026-05-29 01:07:58,14.0,1,57,0.12
2026-05-29 01:08:11,2026-05-29 01:08:11,2026-05-29 01:08:11,19.0,2,61,0.0
2026-05-29 01:08:14,2026-05-29 01:11:23,2026-05-29 01:08:47,19.0,1,59,3.15
2026-05-29 01:11:42,2026-05-29 01:11:42,2026-05-29 01:11:42,22.0,2,61,0.0
2026-05-29 01:11:59,2026-05-29 01:15:13,2026-05-29 01:13:43,21.0,1,60,3.23
2026-05-29 01:15:39,2026-05-29 01:15:39,2026-05-29 01:15:39,19.0,2,60,0.0
2026-05-29 01:16:23,2026-05-29 01:22:44,2026-05-29 01:21:09,18.0,1,59,6.35
2026-05-29 01:23:09,2026-05-29 01:23:09,2026-05-29 01:23:09,18.0,2,61,0.0
2026-05-29 01:23:50,2026-05-29 01:24:38,2026-05-29 01:24:38,16.0,1,59,0.8
2026-05-29 01:24:46,2026-05-29 01:24:46,2026-05-29 01:24:46,17.0,2,61,0.0
2026-05-29 01:24:53,2026-05-29 01:31:28,2026-05-29 01:26:49,19.0,1,60,6.58
2026-05-29 01:31:31,2026-05-29 01:31:53,2026-05-29 01:31:31,21.0,2,65,0.37
2026-05-29 01:32:01,2026-05-29 01:33:50,2026-05-29 01:32:24,16.0,1,58,1.82
2026-05-29 01:34:29,2026-05-29 01:34:51,2026-05-29 01:34:29,17.0,2,62,0.37
2026-05-29 01:35:10,2026-05-29 01:39:31,2026-05-29 01:35:10,14.0,1,58,4.35
2026-05-29 01:39:45,2026-05-29 01:39:47,2026-05-29 01:39:45,17.0,2,62,0.03
2026-05-29 01:40:55,2026-05-29 01:42:47,2026-05-29 01:41:02,14.0,1,60,1.87
2026-05-29 01:43:13,2026-05-29 01:43:13,2026-05-29 01:43:13,14.0,2,61,0.0
2026-05-29 01:43:17,2026-05-29 01:45:15,2026-05-29 01:44:59,14.0,1,59,1.97
2026-05-29 01:45:26,2026-05-29 01:45:26,2026-05-29 01:45:26,15.0,2,62,0.0
2026-05-29 01:45:41,2026-05-29 01:46:23,2026-05-29 01:46:07,13.0,1,58,0.7
2026-05-29 01:46:54,2026-05-29 01:46:54,2026-05-29 01:46:54,14.0,2,61,0.0
2026-05-29 01:47:19,2026-05-29 01:47:19,2026-05-29 01:47:19,11.0,1,59,0.0
2026-05-29 01:47:48,2026-05-29 01:47:48,2026-05-29 01:47:48,14.0,2,61,0.0
2026-05-29 01:47:57,2026-05-29 01:48:48,2026-05-29 01:48:48,13.0,1,60,0.85
2026-05-29 01:49:30,2026-05-29 01:49:30,2026-05-29 01:49:30,13.0,2,60,0.0
2026-05-29 01:49:50,2026-05-29 01:51:34,2026-05-29 01:49:50,13.0,1,60,1.73
2026-05-29 01:52:07,2026-05-29 01:52:07,2026-05-29 01:52:07,14.0,2,62,0.0
2026-05-29 01:52:19,2026-05-29 01:55:36,2026-05-29 01:52:56,14.0,1,60,3.28
2026-05-29 01:55:41,2026-05-29 01:55:41,2026-05-29 01:55:41,13.0,2,60,0.0
2026-05-29 01:55:46,2026-05-29 01:56:29,2026-05-29 01:56:04,13.0,1,60,0.72
2026-05-29 01:56:30,2026-05-29 01:56:30,2026-05-29 01:56:30,17.0,2,61,0.0
2026-05-29 01:56:32,2026-05-29 01:57:54,2026-05-29 01:56:51,15.0,1,59,1.37
2026-05-29 01:58:11,2026-05-29 01:58:11,2026-05-29 01:58:11,16.0,2,61,0.0
2026-05-29 01:58:53,2026-05-29 02:00:09,2026-05-29 02:00:09,14.0,1,60,1.27
2026-05-29 02:00:11,2026-05-29 02:00:11,2026-05-29 02:00:11,19.0,2,63,0.0
2026-05-29 02:00:26,2026-05-29 02:00:26,2026-05-29 02:00:26,14.0,1,58,0.0
2026-05-29 02:00:42,2026-05-29 02:00:42,2026-05-29 02:00:42,18.0,2,63,0.0
2026-05-29 02:00:52,2026-05-29 02:01:54,2026-05-29 02:01:54,14.0,1,59,1.03
2026-05-29 02:01:55,2026-05-29 02:01:55,2026-05-29 02:01:55,21.0,2,63,0.0
2026-05-29 02:02:06,2026-05-29 02:03:23,2026-05-29 02:03:23,16.0,1,58,1.28
2026-05-29 02:03:44,2026-05-29 02:03:44,2026-05-29 02:03:44,21.0,2,65,0.0
2026-05-29 02:03:48,2026-05-29 02:04:18,2026-05-29 02:03:48,18.0,1,60,0.5
2026-05-29 02:04:24,2026-05-29 02:04:27,2026-05-29 02:04:24,21.0,2,62,0.05
2026-05-29 02:04:39,2026-05-29 02:04:54,2026-05-29 02:04:39,20.0,1,59,0.25
2026-05-29 02:05:02,2026-05-29 02:05:02,2026-05-29 02:05:02,24.0,2,63,0.0
2026-05-29 02:05:13,2026-05-29 02:05:39,2026-05-29 02:05:19,20.0,1,58,0.43
2026-05-29 02:05:43,2026-05-29 02:05:51,2026-05-29 02:05:43,24.0,2,63,0.13
2026-05-29 02:06:12,2026-05-29 02:06:59,2026-05-29 02:06:56,22.0,1,59,0.78
2026-05-29 02:07:02,2026-05-29 02:07:02,2026-05-29 02:07:02,25.0,2,61,0.0
2026-05-29 02:07:08,2026-05-29 02:07:44,2026-05-29 02:07:08,24.0,1,59,0.6
2026-05-29 02:08:02,2026-05-29 02:08:02,2026-05-29 02:08:02,27.0,2,62,0.0
2026-05-29 02:08:08,2026-05-29 02:08:36,2026-05-29 02:08:36,25.0,1,60,0.47
2026-05-29 02:08:39,2026-05-29 02:08:39,2026-05-29 02:08:39,29.0,2,62,0.0
2026-05-29 02:08:57,2026-05-29 02:15:37,2026-05-29 02:10:26,27.0,1,60,6.67
2026-05-29 02:15:41,2026-05-29 02:15:41,2026-05-29 02:15:41,31.0,2,62,0.0
2026-05-29 02:15:50,2026-05-29 02:16:08,2026-05-29 02:15:50,27.0,1,60,0.3
2026-05-29 02:16:24,2026-05-29 02:16:24,2026-05-29 02:16:24,29.0,2,62,0.0
2026-05-29 02:17:10,2026-05-29 02:25:11,2026-05-29 02:20:53,28.0,1,60,8.02
2026-05-29 02:25:17,2026-05-29 02:25:17,2026-05-29 02:25:17,23.0,2,61,0.0
2026-05-29 02:25:19,2026-05-29 02:35:14,2026-05-29 02:25:19,23.0,1,60,9.92
2026-05-29 02:35:25,2026-05-29 02:35:25,2026-05-29 02:35:25,21.0,2,61,0.0
2026-05-29 02:35:41,2026-05-29 02:39:49,2026-05-29 02:37:05,18.0,1,60,4.13
2026-05-29 02:40:43,2026-05-29 02:40:43,2026-05-29 02:40:43,18.0,2,62,0.0
2026-05-29 02:40:51,2026-05-29 02:42:26,2026-05-29 02:41:49,17.0,1,58,1.58
2026-05-29 02:42:54,2026-05-29 02:43:14,2026-05-29 02:42:54,22.0,2,64,0.33
2026-05-29 02:43:33,2026-05-29 02:45:02,2026-05-29 02:44:24,17.0,1,60,1.48
2026-05-29 02:45:05,2026-05-29 02:45:05,2026-05-29 02:45:05,18.0,2,60,0.0
2026-05-29 02:45:17,2026-05-29 02:47:40,2026-05-29 02:47:02,18.0,1,59,2.38
2026-05-29 02:48:13,2026-05-29 02:48:24,2026-05-29 02:48:13,19.0,2,62,0.18
2026-05-29 02:48:58,2026-05-29 02:49:52,2026-05-29 02:48:58,18.0,1,57,0.9
2026-05-29 02:50:05,2026-05-29 02:50:05,2026-05-29 02:50:05,23.0,2,64,0.0
2026-05-29 02:50:17,2026-05-29 02:50:17,2026-05-29 02:50:17,16.0,1,57,0.0
2026-05-29 02:50:21,2026-05-29 02:50:21,2026-05-29 02:50:21,20.0,2,61,0.0
2026-05-29 02:50:58,2026-05-29 02:58:09,2026-05-29 02:58:09,20.0,1,60,7.18
2026-05-29 02:58:13,2026-05-29 02:58:13,2026-05-29 02:58:13,19.0,2,61,0.0
2026-05-29 02:58:26,2026-05-29 03:01:06,2026-05-29 02:58:35,17.0,1,59,2.67
2026-05-29 03:01:14,2026-05-29 03:01:14,2026-05-29 03:01:14,21.0,2,61,0.0
2026-05-29 03:01:44,2026-05-29 03:05:41,2026-05-29 03:05:09,21.0,1,60,3.95
2026-05-29 03:06:00,2026-05-29 03:06:00,2026-05-29 03:06:00,20.0,2,61,0.0
2026-05-29 03:06:06,2026-05-29 03:14:37,2026-05-29 03:06:06,25.0,1,60,8.52
2026-05-29 03:14:41,2026-05-29 03:14:41,2026-05-29 03:14:41,18.0,2,61,0.0
2026-05-29 03:15:00,2026-05-29 03:15:18,2026-05-29 03:15:00,16.0,1,58,0.3
2026-05-29 03:15:47,2026-05-29 03:15:47,2026-05-29 03:15:47,19.0,2,61,0.0
2026-05-29 03:16:07,2026-05-29 03:16:26,2026-05-29 03:16:24,15.0,1,60,0.32
2026-05-29 03:16:46,2026-05-29 03:16:46,2026-05-29 03:16:46,20.0,2,65,0.0
2026-05-29 03:16:48,2026-05-29 03:17:01,2026-05-29 03:17:01,17.0,1,60,0.22
2026-05-29 03:17:24,2026-05-29 03:17:38,2026-05-29 03:17:24,18.0,2,61,0.23
2026-05-29 03:17:52,2026-05-29 03:21:19,2026-05-29 03:17:52,16.0,1,58,3.45
2026-05-29 03:21:21,2026-05-29 03:21:35,2026-05-29 03:21:21,18.0,2,61,0.23
2026-05-29 03:21:50,2026-05-29 03:24:37,2026-05-29 03:22:32,15.0,1,60,2.78
2026-05-29 03:24:45,2026-05-29 03:24:45,2026-05-29 03:24:45,21.0,2,65,0.0
2026-05-29 03:24:53,2026-05-29 03:27:51,2026-05-29 03:27:12,17.0,1,60,2.97
2026-05-29 03:28:10,2026-05-29 03:28:10,2026-05-29 03:28:10,16.0,2,60,0.0
2026-05-29 03:28:37,2026-05-29 03:30:37,2026-05-29 03:29:57,15.0,1,59,2.0
2026-05-29 03:30:46,2026-05-29 03:30:46,2026-05-29 03:30:46,18.0,2,62,0.0
2026-05-29 03:30:52,2026-05-29 03:34:08,2026-05-29 03:33:40,15.0,1,60,3.27
2026-05-29 03:34:27,2026-05-29 03:34:27,2026-05-29 03:34:27,17.0,2,64,0.0
2026-05-29 03:34:30,2026-05-29 03:36:06,2026-05-29 03:34:38,17.0,1,59,1.6
2026-05-29 03:36:24,2026-05-29 03:36:24,2026-05-29 03:36:24,19.0,2,61,0.0
2026-05-29 03:36:53,2026-05-29 03:41:06,2026-05-29 03:40:43,19.0,1,60,4.22
2026-05-29 03:41:39,2026-05-29 03:41:39,2026-05-29 03:41:39,19.0,2,61,0.0
2026-05-29 03:41:43,2026-05-29 03:47:47,2026-05-29 03:42:45,19.0,1,60,6.07
2026-05-29 03:48:09,2026-05-29 03:48:09,2026-05-29 03:48:09,20.0,2,63,0.0
2026-05-29 03:48:10,2026-05-29 03:50:13,2026-05-29 03:49:55,19.0,1,60,2.05
2026-05-29 03:50:30,2026-05-29 03:50:30,2026-05-29 03:50:30,18.0,2,61,0.0
2026-05-29 03:51:17,2026-05-29 03:53:11,2026-05-29 03:52:03,18.0,1,59,1.9
2026-05-29 03:53:14,2026-05-29 03:53:14,2026-05-29 03:53:14,19.0,2,61,0.0
2026-05-29 03:53:24,2026-05-29 03:56:39,2026-05-29 03:53:24,18.0,1,60,3.25
2026-05-29 03:56:48,2026-05-29 03:56:48,2026-05-29 03:56:48,21.0,2,62,0.0
2026-05-29 03:57:12,2026-05-29 03:58:50,2026-05-29 03:57:14,18.0,1,60,1.63
2026-05-29 03:59:07,2026-05-29 03:59:07,2026-05-29 03:59:07,17.0,2,61,0.0
2026-05-29 03:59:19,2026-05-29 03:59:47,2026-05-29 03:59:40,18.0,1,60,0.47
2026-05-29 03:59:55,2026-05-29 03:59:55,2026-05-29 03:59:55,18.0,2,61,0.0
2026-05-29 04:00:22,2026-05-29 04:02:33,2026-05-29 04:00:50,17.0,1,60,2.18
2026-05-29 04:02:43,2026-05-29 04:02:43,2026-05-29 04:02:43,16.0,2,60,0.0
2026-05-29 04:02:45,2026-05-29 04:02:45,2026-05-29 04:02:45,16.0,1,60,0.0
2026-05-29 04:03:20,2026-05-29 04:03:20,2026-05-29 04:03:20,18.0,2,63,0.0
2026-05-29 04:03:48,2026-05-29 04:03:51,2026-05-29 04:03:51,17.0,1,59,0.05
2026-05-29 04:04:52,2026-05-29 04:04:52,2026-05-29 04:04:52,17.0,2,62,0.0
2026-05-29 04:05:03,2026-05-29 04:09:00,2026-05-29 04:09:00,15.0,1,59,3.95
2026-05-29 04:09:03,2026-05-29 04:09:03,2026-05-29 04:09:03,20.0,3,65,0.0
2026-05-29 04:09:18,2026-05-29 04:10:54,2026-05-29 04:10:35,14.0,1,60,1.6
2026-05-29 04:11:02,2026-05-29 04:11:02,2026-05-29 04:11:02,16.0,2,62,0.0
2026-05-29 04:11:08,2026-05-29 04:11:47,2026-05-29 04:11:33,15.0,1,60,0.65
2026-05-29 04:12:01,2026-05-29 04:12:01,2026-05-29 04:12:01,15.0,2,61,0.0
2026-05-29 04:12:04,2026-05-29 04:12:04,2026-05-29 04:12:04,13.0,1,57,0.0
2026-05-29 04:12:50,2026-05-29 04:12:50,2026-05-29 04:12:50,15.0,2,60,0.0
2026-05-29 04:13:34,2026-05-29 04:15:46,2026-05-29 04:14:13,14.0,1,60,2.2
2026-05-29 04:15:48,2026-05-29 04:15:48,2026-05-29 04:15:48,16.0,2,61,0.0
2026-05-29 04:16:37,2026-05-29 04:22:56,2026-05-29 04:17:58,15.0,1,60,6.32
2026-05-29 04:23:03,2026-05-29 04:23:03,2026-05-29 04:23:03,16.0,2,61,0.0
2026-05-29 04:23:07,2026-05-29 04:33:53,2026-05-29 04:28:34,19.0,1,60,10.77
2026-05-29 04:34:08,2026-05-29 04:34:08,2026-05-29 04:34:08,22.0,2,62,0.0
2026-05-29 04:35:10,2026-05-29 04:38:58,2026-05-29 04:38:27,21.0,1,60,3.8
2026-05-29 04:39:02,2026-05-29 04:39:02,2026-05-29 04:39:02,22.0,2,61,0.0
2026-05-29 04:39:04,2026-05-29 04:44:58,2026-05-29 04:40:50,22.0,1,60,5.9
2026-05-29 04:45:32,2026-05-29 04:45:32,2026-05-29 04:45:32,24.0,2,63,0.0
2026-05-29 04:45:49,2026-05-29 04:48:10,2026-05-29 04:47:09,22.0,1,60,2.35
2026-05-29 04:48:50,2026-05-29 04:48:50,2026-05-29 04:48:50,25.0,2,63,0.0
2026-05-29 04:49:03,2026-05-29 04:49:03,2026-05-29 04:49:03,19.0,1,58,0.0
2026-05-29 04:49:10,2026-05-29 04:49:10,2026-05-29 04:49:10,23.0,2,62,0.0
2026-05-29 04:49:32,2026-05-29 04:49:50,2026-05-29 04:49:45,23.0,1,59,0.3
2026-05-29 04:50:12,2026-05-29 04:50:12,2026-05-29 04:50:12,22.0,2,61,0.0
2026-05-29 04:50:30,2026-05-29 04:50:45,2026-05-29 04:50:41,20.0,1,59,0.25
2026-05-29 04:51:09,2026-05-29 04:51:09,2026-05-29 04:51:09,24.0,2,62,0.0
2026-05-29 04:51:16,2026-05-29 04:52:30,2026-05-29 04:52:30,20.0,1,58,1.23
2026-05-29 04:52:37,2026-05-29 04:52:37,2026-05-29 04:52:37,24.0,2,62,0.0
2026-05-29 04:52:40,2026-05-29 04:54:48,2026-05-29 04:54:18,26.0,1,60,2.13
2026-05-29 04:54:57,2026-05-29 04:55:05,2026-05-29 04:55:05,34.0,2,63,0.13
2026-05-29 04:55:22,2026-05-29 04:55:42,2026-05-29 04:55:28,30.0,1,58,0.33
2026-05-29 04:55:46,2026-05-29 04:55:51,2026-05-29 04:55:51,42.0,2,64,0.08
2026-05-29 04:55:56,2026-05-29 04:56:20,2026-05-29 04:56:20,40.0,1,59,0.4
2026-05-29 04:56:23,2026-05-29 04:56:23,2026-05-29 04:56:23,42.0,2,61,0.0
2026-05-29 04:56:28,2026-05-29 04:56:37,2026-05-29 04:56:37,48.0,1,60,0.15
2026-05-29 04:56:40,2026-05-29 04:56:40,2026-05-29 04:56:40,49.0,2,62,0.0
2026-05-29 04:56:42,2026-05-29 04:56:53,2026-05-29 04:56:42,47.0,1,59,0.18
2026-05-29 04:56:55,2026-05-29 04:56:58,2026-05-29 04:56:58,56.0,2,61,0.05
2026-05-29 04:57:00,2026-05-29 04:57:00,2026-05-29 04:57:00,56.0,1,60,0.0
2026-05-29 04:57:02,2026-05-29 04:57:02,2026-05-29 04:57:02,57.0,2,61,0.0
2026-05-29 04:57:03,2026-05-29 04:57:03,2026-05-29 04:57:03,54.0,1,56,0.0
2026-05-29 04:57:05,2026-05-29 04:57:05,2026-05-29 04:57:05,63.0,2,62,0.0
2026-05-29 04:57:16,2026-05-29 04:58:00,2026-05-29 04:57:33,75.0,1,60,0.73
2026-05-29 04:58:06,2026-05-29 04:58:06,2026-05-29 04:58:06,88.0,2,62,0.0
2026-05-29 04:58:08,2026-05-29 04:58:33,2026-05-29 04:58:31,95.0,1,60,0.42
2026-05-29 04:58:37,2026-05-29 04:58:37,2026-05-29 04:58:37,101.0,2,61,0.0
2026-05-29 04:58:40,2026-05-29 04:59:52,2026-05-29 04:59:30,118.0,1,59,1.2
2026-05-29 04:59:54,2026-05-29 04:59:54,2026-05-29 04:59:54,122.0,2,62,0.0
2026-05-29 04:59:58,2026-05-29 05:00:18,2026-05-29 05:00:18,130.0,1,60,0.33
2026-05-29 05:00:21,2026-05-29 05:00:21,2026-05-29 05:00:21,130.0,2,61,0.0
2026-05-29 05:00:27,2026-05-29 05:01:30,2026-05-29 05:00:57,146.0,1,59,1.05
2026-05-29 05:01:36,2026-05-29 05:01:36,2026-05-29 05:01:36,164.0,2,62,0.0
2026-05-29 05:01:42,2026-05-29 05:15:31,2026-05-29 05:03:36,266.0,1,60,13.82
2026-05-29 05:15:34,2026-05-29 05:15:34,2026-05-29 05:15:34,243.0,2,61,0.0
2026-05-29 05:15:37,2026-05-29 05:24:48,2026-05-29 05:24:00,237.0,1,60,9.18
2026-05-29 05:25:10,2026-05-29 05:25:10,2026-05-29 05:25:10,209.0,2,62,0.0
2026-05-29 05:25:26,2026-05-29 05:26:36,2026-05-29 05:25:34,197.0,1,59,1.17
2026-05-29 05:26:58,2026-05-29 05:26:58,2026-05-29 05:26:58,200.0,2,60,0.0
2026-05-29 05:27:12,2026-05-29 05:27:28,2026-05-29 05:27:18,207.0,1,60,0.27
2026-05-29 05:27:33,2026-05-29 05:27:33,2026-05-29 05:27:33,206.0,2,61,0.0
2026-05-29 05:27:35,2026-05-29 05:28:29,2026-05-29 05:27:52,218.0,1,60,0.9
2026-05-29 05:28:32,2026-05-29 05:28:32,2026-05-29 05:28:32,220.0,2,61,0.0
2026-05-29 05:28:34,2026-05-29 05:28:34,2026-05-29 05:28:34,215.0,1,58,0.0
2026-05-29 05:28:40,2026-05-29 05:28:40,2026-05-29 05:28:40,233.0,2,62,0.0
2026-05-29 05:28:45,2026-05-29 05:28:47,2026-05-29 05:28:45,226.0,1,60,0.03
2026-05-29 05:28:50,2026-05-29 05:28:50,2026-05-29 05:28:50,251.0,2,63,0.0
2026-05-29 05:29:01,2026-05-29 05:29:32,2026-05-29 05:29:28,245.0,1,60,0.52
2026-05-29 05:29:38,2026-05-29 05:29:38,2026-05-29 05:29:38,252.0,2,61,0.0
2026-05-29 05:29:43,2026-05-29 05:29:51,2026-05-29 05:29:43,248.0,1,58,0.13
2026-05-29 05:29:56,2026-05-29 05:29:56,2026-05-29 05:29:56,259.0,2,60,0.0
2026-05-29 05:30:05,2026-05-29 05:30:05,2026-05-29 05:30:05,254.0,1,59,0.0
2026-05-29 05:30:08,2026-05-29 05:30:08,2026-05-29 05:30:08,271.0,2,61,0.0
2026-05-29 05:30:11,2026-05-29 05:30:37,2026-05-29 05:30:22,275.0,1,59,0.43
2026-05-29 05:30:39,2026-05-29 05:30:39,2026-05-29 05:30:39,286.0,2,61,0.0
2026-05-29 05:30:41,2026-05-29 05:31:20,2026-05-29 05:30:41,291.0,1,59,0.65
2026-05-29 05:31:23,2026-05-29 05:31:23,2026-05-29 05:31:23,320.0,2,60,0.0
2026-05-29 05:31:27,2026-05-29 05:31:37,2026-05-29 05:31:37,295.0,1,57,0.17
2026-05-29 05:31:41,2026-05-29 05:31:41,2026-05-29 05:31:41,317.0,2,61,0.0
2026-05-29 05:31:52,2026-05-29 05:44:27,2026-05-29 05:40:12,363.0,1,59,12.58
2026-05-29 05:44:33,2026-05-29 05:44:33,2026-05-29 05:44:33,330.0,2,61,0.0
2026-05-29 05:44:58,2026-05-29 05:48:16,2026-05-29 05:45:16,328.0,1,59,3.3
2026-05-29 05:51:16,2026-05-29 05:51:16,2026-05-29 05:51:16,251.0,2,61,0.0
2026-05-29 05:51:44,2026-05-29 05:52:12,2026-05-29 05:52:12,231.0,1,58,0.47
2026-05-29 05:52:15,2026-05-29 05:52:15,2026-05-29 05:52:15,234.0,2,61,0.0
2026-05-29 05:52:22,2026-05-29 05:56:52,2026-05-29 05:54:29,231.0,1,60,4.5
2026-05-29 05:57:22,2026-05-29 05:57:22,2026-05-29 05:57:22,214.0,2,61,0.0
2026-05-29 05:57:25,2026-05-29 05:59:38,2026-05-29 05:58:09,202.0,1,58,2.22
2026-05-29 05:59:59,2026-05-29 05:59:59,2026-05-29 05:59:59,204.0,2,60,0.0
2026-05-29 06:00:13,2026-05-29 06:11:48,2026-05-29 06:04:16,201.0,1,60,11.58
2026-05-29 06:11:51,2026-05-29 06:11:51,2026-05-29 06:11:51,138.0,2,62,0.0
2026-05-29 06:12:06,2026-05-29 06:16:23,2026-05-29 06:15:35,121.0,1,60,4.28
2026-05-29 06:16:38,2026-05-29 06:16:38,2026-05-29 06:16:38,101.0,2,62,0.0
2026-05-29 06:17:42,2026-05-29 06:23:42,2026-05-29 06:17:42,100.0,1,60,6.0
2026-05-29 06:24:15,2026-05-29 06:24:15,2026-05-29 06:24:15,85.0,2,61,0.0
2026-05-29 06:24:23,2026-05-29 06:25:17,2026-05-29 06:24:28,87.0,1,60,0.9
2026-05-29 06:25:22,2026-05-29 06:25:30,2026-05-29 06:25:22,94.0,2,62,0.13
2026-05-29 06:25:35,2026-05-29 06:26:57,2026-05-29 06:26:39,103.0,1,60,1.37
2026-05-29 06:27:02,2026-05-29 06:27:02,2026-05-29 06:27:02,105.0,2,60,0.0
2026-05-29 06:27:06,2026-05-29 06:27:18,2026-05-29 06:27:11,104.0,1,59,0.2
2026-05-29 06:27:31,2026-05-29 06:27:34,2026-05-29 06:27:31,114.0,2,62,0.05
2026-05-29 06:27:43,2026-05-29 06:27:53,2026-05-29 06:27:43,108.0,1,58,0.17
2026-05-29 06:28:00,2026-05-29 06:28:04,2026-05-29 06:28:04,123.0,2,62,0.07
2026-05-29 06:28:12,2026-05-29 06:28:26,2026-05-29 06:28:18,117.0,1,59,0.23
